,address,agent,baths_full,baths_half,bedrooms,broker,city,garage,lot_size,photos,price,property_type,sqft,zip_code
217,911 N Oak St,1265113,1,1,2,1571726,Bloomington,4,-1.0,24,99900,Single Family Home,2048.0,61701
218,7 Misty Ln,1824976,2,0,2,1571726,Bloomington,2,-1.0,18,169900,Single Family Home,2338.0,61705
219,518 S Florence Ave,1646965,2,0,2,1571726,Bloomington,1,-1.0,14,89900,Single Family Home,1904.0,61701
220,1931 Glenbridge Rd,911852,2,1,2,1280142,Bloomington,2,-1.0,1,179900,Single Family Home,2210.0,61704
221,2411 Grey Fox Trl,1292818,3,1,4,1295017,Bloomington,2,-1.0,30,214900,Single Family Home,3103.0,61705
222,16 Aspen Ct,921514,2,1,3,1280142,Bloomington,2,-1.0,30,248900,Single Family Home,4040.0,61704
223,3215 Viney Ln,1207544,2,2,4,1207437,Bloomington,3,6098.0,30,318900,Single Family Home,5148.0,61704
224,8 Cave Creek Ct,1301728,2,1,4,1280142,Bloomington,2,-1.0,29,214900,Single Family Home,3618.0,61704
225,509 Seville Rd,1295084,3,0,3,1295017,Bloomington,2,-1.0,28,199900,Single Family Home,3180.0,61701
227,610 S Florence Ave,1855850,1,0,2,1280142,Bloomington,1,-1.0,25,120000,Single Family Home,1852.0,61701
228,1715 Indiana St,2739472,1,1,3,1571726,Bloomington,1,-1.0,16,92500,Single Family Home,1117.0,61701
229,1929 Glenbridge Rd,1855850,2,1,2,1280142,Bloomington,2,-1.0,1,175000,Single Family Home,2210.0,61704
230,611 S Vale St,2724324,1,0,2,1571726,Bloomington,2,-1.0,30,148900,Single Family Home,1800.0,61701
231,5001 Fleming Ln,4396,3,1,4,1295017,Bloomington,3,-1.0,30,279900,Single Family Home,3548.0,61705
232,3 Kenyon Ct,3106632,2,1,4,-1,Bloomington,2,10890.0,30,229900,Single Family Home,3223.0,61701
233,3 Devon Rd,744586,3,0,4,3054550,Bloomington,2,-1.0,30,189900,Single Family Home,2338.0,61704
234,3503 Gabby Dr,7995,2,1,5,3054550,Bloomington,3,-1.0,30,285000,Single Family Home,3580.0,61704
235,5 Canterbury Ct,1613798,3,1,3,1571726,Bloomington,3,-1.0,30,300000,Single Family Home,4239.0,61701
236,10 Cameron Ct,692040,2,1,4,1295017,Bloomington,3,-1.0,30,244900,Single Family Home,3134.0,61704
237,14714 Brian Dr,1253576,1,0,3,1207437,Bloomington,1,-1.0,23,116900,Single Family Home,1040.0,61705
238,5305 Ferryman Rd,1329957,3,1,5,1571726,Bloomington,3,-1.0,1,294900,Single Family Home,3282.0,61705
239,3604 Connie Kay Way,1440163,3,1,4,1571726,Bloomington,3,-1.0,30,334900,Single Family Home,4324.0,61704
240,3320 Golden Eagle Rd,1207554,3,1,4,3054550,Bloomington,3,-1.0,30,289900,Single Family Home,3774.0,61704
241,1701 Glenbridge Rd,192211,2,1,3,1280142,Bloomington,2,-1.0,30,185000,Single Family Home,2501.0,61704
242,19302 Wood Dale Holw,172711,2,1,4,1207437,Bloomington,2,54450.0,29,274900,Single Family Home,4638.0,61705
243,1324 Sherman St,1388808,2,0,4,712753,Bloomington,2,-1.0,25,143000,Single Family Home,3072.0,61701
244,2513 Grey Fox Trl,803691,2,1,4,1295017,Bloomington,3,-1.0,24,239900,Single Family Home,3223.0,61705
245,1224 Gettysburg Dr,1388808,1,1,3,712753,Bloomington,1,-1.0,30,123900,Single Family Home,2723.0,61704
246,1007 E Jefferson St,1220379,4,2,6,1295017,Bloomington,5,-1.0,30,359900,Single Family Home,6454.0,61701
247,2806 Alana Way,418519,3,1,5,1571726,Bloomington,3,-1.0,30,399900,Single Family Home,4407.0,61704
248,1204 5 N Lee,2132169,1,0,3,1571726,Bloomington,1,-1.0,30,78900,Single Family Home,1440.0,61701
249,3103 Eagle Crest Rd,1571741,3,1,4,1571726,Bloomington,2,9148.0,29,234900,Single Family Home,3693.0,61704
